Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs,Best Vector,Best Time
ackley_02b9b2ee,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26203513955986096,10,"[0.25801574803149663, -0.25801574803149663]",33.40370774269104
ackley_05b585c6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2548376749898259,10,"[0.25801574803149663, -0.25801574803149663]",4.588268280029297
ackley_06aec475,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25900406717023355,10,"[0.25801574803149663, 0.25801574803149663]",0.3853120803833008
ackley_0b2b1ea6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25965294495767416,10,"[0.25801574803149663, 0.25801574803149663]",0.3454930782318115
ackley_0bab415e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26136892621723873,10,"[-0.25801574803149663, 0.25801574803149663]",60.84768199920654
ackley_15940a8f,0.04573460765384383,0.05124346282408239,0.059577251239779756,0.04582592252272521,10,"[5.934362204724408, 32.768]",3.3349037170410156
ackley_18ba00e1,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2080644089427502,10,"[-0.25801574803149663, 0.25801574803149663]",0.39368295669555664
ackley_18ca59a8,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25675222910760354,10,"[-0.25801574803149663, -0.25801574803149663]",32.69675803184509
ackley_199f4950,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.253137146043807,10,"[-0.7740472440944899, 0.25801574803149663]",0.36299800872802734
ackley_1a49de58,0.04445063092456781,0.045994864893726575,0.04877812174532246,0.045994864893726575,10,"[-20.38324409448819, -10.578645669291337]",3.3317394256591797
ackley_1be294bb,0.043430224234001294,0.05407149874197985,0.11008448706493833,0.048404961543948286,10,"[19.351181102362204, -24.511496062992126]",33.2429883480072
ackley_1c251b5c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24905325586136945,10,"[0.25801574803149663, 0.25801574803149663]",3.315563678741455
ackley_222de6e8,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2021951514264774,10,"[0.25801574803149663, -0.7740472440944899]",0.3858826160430908
ackley_285b4b32,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2570982416169105,10,"[0.25801574803149663, 0.25801574803149663]",0.40271425247192383
ackley_2af649da,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2572993604012059,10,"[0.25801574803149663, 0.25801574803149663]",0.36504554748535156
ackley_2e2ea30e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2568515813945199,10,"[0.25801574803149663, -0.25801574803149663]",0.3699967861175537
ackley_327c8a30,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2543706862608942,10,"[0.25801574803149663, -0.25801574803149663]",3.7482383251190186
ackley_3657c41a,0.04414156904235596,0.045943215746748756,0.049965852839705505,0.04594321574674875,10,"[19.351181102362204, -18.31911811023622]",3.5032906532287598
ackley_369b7693,0.04321265701712772,0.049694162666888884,0.08317673859362981,0.04673805849789267,10,"[-21.415307086614174, 26.575622047244096]",33.566020488739014
ackley_381b84f5,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25379512849030406,10,"[0.25801574803149663, -0.25801574803149663]",3.758376121520996
ackley_38e01c2b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.1757013132634709,10,"[0.25801574803149663, 0.25801574803149663]",3.8032517433166504
ackley_398e0d27,0.04479158430182976,0.04896468652122623,0.05953497030869904,0.047205683441675764,10,"[23.995464566929137, 29.67181102362205]",33.323566198349
ackley_3c994f99,0.04570114614066367,0.05227258170007267,0.06523744008533792,0.048097306620367,10,"[-20.899275590551184, -6.4503937007874015]",0.3736386299133301
ackley_3d4973d0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2503114098258511,10,"[-0.25801574803149663, 0.25801574803149663]",4.880026578903198
ackley_3e9db7ff,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2154171906555636,10,"[0.25801574803149663, -0.25801574803149663]",0.39934587478637695
ackley_41dc35e4,0.0450213321119444,0.051662066098439166,0.08112723772934845,0.04716145249398929,10,"[-0.7740472440944899, 22.447370078740157]",33.54801893234253
ackley_4271aaab,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2551996281468877,10,"[0.25801574803149663, 0.7740472440944899]",0.38730883598327637
ackley_4366cf96,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.23744206275249335,10,"[0.25801574803149663, -0.25801574803149663]",33.38066625595093
ackley_4733f039,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.216135590379414,10,"[-0.25801574803149663, 0.25801574803149663]",33.10621190071106
ackley_4c6a8caa,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22950029424212076,10,"[-0.25801574803149663, -0.25801574803149663]",3.833946466445923
ackley_4e55bcbb,0.044466762379812626,0.04859229157445517,0.05529289696863688,0.04674292579685982,10,"[-23.995464566929133, -27.60768503937008]",3.643599033355713
ackley_54450347,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22315938555751216,10,"[-0.25801574803149663, -0.25801574803149663]",33.126299142837524
ackley_571433e7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2125900407902705,10,"[0.25801574803149663, 0.25801574803149663]",3.578589677810669
ackley_59d9ee97,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2035624370248892,10,"[0.25801574803149663, -0.25801574803149663]",3.936067819595337
ackley_5d33b8b2,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2531941094213428,10,"[-0.25801574803149663, 0.25801574803149663]",3.7761495113372803
ackley_5e51cf1f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25218486857391414,10,"[-0.25801574803149663, -0.25801574803149663]",3.5696756839752197
ackley_5f4e43c5,0.044213718812803005,0.04640014790886358,0.052542862512819505,0.04610314524076251,10,"[21.41530708661417, -10.578645669291337]",0.361297607421875
ackley_5f57bfe7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25691161906646137,10,"[0.25801574803149663, -0.25801574803149663]",3.6348884105682373
ackley_6212fc06,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26096272001376547,10,"[-0.25801574803149663, -0.25801574803149663]",37.86142349243164
ackley_657d4435,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2568800551382822,10,"[0.25801574803149663, -0.25801574803149663]",3.5185933113098145
ackley_6657a1d0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24644696089879276,10,"[-0.25801574803149663, -0.25801574803149663]",3.326789140701294
ackley_66918a6c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24908559398995317,10,"[0.25801574803149663, -0.25801574803149663]",5.139953136444092
ackley_6714041a,0.04359678102610104,0.04822029270819132,0.0675768509148074,0.04652272434733471,10,"[26.575622047244096, 12.642771653543306]",0.3797755241394043
ackley_6793b44d,0.04350432415779997,0.04591027518766656,0.05045337238205763,0.04591027518766656,10,"[-22.447370078740157, -32.768]",3.5211620330810547
ackley_6970ca3d,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.21829088637593896,10,"[-0.25801574803149663, 0.25801574803149663]",37.726054430007935
ackley_69b25f4c,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25509449779638815,10,"[0.25801574803149663, -0.25801574803149663]",3.577105760574341
ackley_70c504fd,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.18938000727686802,10,"[0.25801574803149663, -0.25801574803149663]",3.3653643131256104
ackley_71262445,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.1858861473717059,10,"[0.25801574803149663, 0.25801574803149663]",3.851095676422119
ackley_720ef90e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25407256331161954,10,"[0.25801574803149663, 0.25801574803149663]",0.39048290252685547
ackley_7279db4d,0.04426825124129264,0.049373556690798584,0.06663393497267085,0.049373556690798584,10,"[21.41530708661417, 9.546582677165354]",33.03489398956299
ackley_75125e94,0.04648313683472956,0.060290446622340364,0.07502015452594506,0.04731729831555427,10,"[-18.31911811023622, -1.2900787401574831]",3.383061647415161
ackley_76820e21,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2569992181601749,10,"[0.25801574803149663, 0.25801574803149663]",33.435853719711304
ackley_7729686e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2557737114808846,10,"[0.25801574803149663, -0.25801574803149663]",3.7426884174346924
ackley_78e84648,0.04493836456554364,0.04971894191194345,0.06273429306506352,0.04581224780916807,10,"[31.735937007874014, -2.838173228346456]",33.11568355560303
ackley_7cddcef5,0.044336743546897386,0.051142884533067,0.07117806101777041,0.047769913431782426,10,"[-26.575622047244096, 25.027527559055116]",33.15672016143799
ackley_806fe6dd,0.04420017720346009,0.04769804020879954,0.05617704131641533,0.04597232386361697,10,"[-30.18784251968504, 30.703874015748028]",3.6741600036621094
ackley_8465c64f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2559829056310019,10,"[-0.25801574803149663, -0.25801574803149663]",66.49200057983398
ackley_84f3b28b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2579143184114357,10,"[0.25801574803149663, -0.25801574803149663]",3.8805487155914307
ackley_8d10dab7,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25801189462045426,10,"[0.25801574803149663, 0.25801574803149663]",37.52938413619995
ackley_916ffcd9,0.20633388401034994,0.2532847455292803,0.26502246090901294,0.2492888874230971,10,"[-0.25801574803149663, -0.7740472440944899]",0.39493370056152344
ackley_9218e1b5,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22757501463341465,10,"[0.25801574803149663, -0.25801574803149663]",0.36538052558898926
ackley_92a080a7,0.043542227541267554,0.04852952752785407,0.06323281392831884,0.04852952752785407,10,"[-28.63974803149606, 18.319118110236225]",33.23090410232544
ackley_92c687d0,0.04457790868298974,0.056538411272805046,0.10262768836007073,0.04845160803968326,10,"[21.41530708661417, 21.931338582677164]",3.316930055618286
ackley_9498d469,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26140983626195946,10,"[-0.25801574803149663, 0.25801574803149663]",3.7481954097747803
ackley_a38ca72f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25979912954484374,10,"[0.25801574803149663, -0.25801574803149663]",0.35958147048950195
ackley_a43748ad,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.255934008370036,10,"[-0.25801574803149663, -0.25801574803149663]",3.7617712020874023
ackley_ac71860b,0.04369807144542642,0.05102983093766317,0.09521074241657215,0.05102983093766317,10,"[-32.25196850393701, -11.610708661417323]",0.3606903553009033
ackley_b16413e3,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.20930595195340418,10,"[0.25801574803149663, 0.25801574803149663]",3.623464584350586
ackley_b3051412,0.04353407741264889,0.056419546760078466,0.11948297787989381,0.05008142249798403,10,"[-8.514519685039371, -27.60768503937008]",0.37967610359191895
ackley_b4a68d7a,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.18125065606591634,10,"[-0.25801574803149663, 0.25801574803149663]",3.8618550300598145
ackley_b4ce6336,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2529818503891586,10,"[-0.25801574803149663, -0.25801574803149663]",3.5764708518981934
ackley_b5029322,0.043298840946166386,0.05086574420000869,0.09460002596402091,0.05086574420000868,10,"[-20.38324409448819, 25.54355905511811]",0.3688321113586426
ackley_b93e8c7e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2625337363044189,10,"[-0.25801574803149663, -0.25801574803149663]",0.43806886672973633
ackley_b9f8ab6a,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.24565110970638168,10,"[-0.25801574803149663, 0.7740472440944899]",0.36023521423339844
ackley_bc2f1855,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2614925935614095,10,"[0.25801574803149663, 0.25801574803149663]",3.872924566268921
ackley_bd35b03d,0.044176603234346995,0.05630869683448142,0.11008448706493833,0.05630869683448142,10,"[-17.80308661417323, -22.447370078740157]",0.3829619884490967
ackley_c16161ec,0.04500346038921677,0.049493811191980784,0.05858710532707242,0.046318230920494696,10,"[-2.838173228346456, 23.479433070866143]",0.37383341789245605
ackley_c2050209,0.04560732048005533,0.052714794625907266,0.06413983764648475,0.046965081762540724,10,"[-15.738960629921259, -15.738960629921259]",3.358755350112915
ackley_c2e65b97,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2216581879664697,10,"[0.25801574803149663, 0.25801574803149663]",3.5537045001983643
ackley_c2f50ad0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25970835347162174,10,"[-0.25801574803149663, -0.25801574803149663]",37.2689049243927
ackley_c5898119,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2514364319705843,10,"[-0.25801574803149663, 0.25801574803149663]",3.34600567817688
ackley_c6923839,0.04372532905298941,0.049596582085807875,0.06818479113148189,0.049596582085807875,10,"[28.63974803149607, -31.219905511811024]",3.5631654262542725
ackley_cab411ce,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2144247766702101,10,"[0.25801574803149663, -0.25801574803149663]",38.00124764442444
ackley_cae5f0b2,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2568723634343855,10,"[0.25801574803149663, -0.7740472440944899]",3.533193349838257
ackley_cb65ad95,0.04322408188470177,0.04732305924217114,0.06277364544679956,0.04732305924217114,10,"[-21.415307086614174, 27.607685039370082]",3.5440452098846436
ackley_cb89f503,0.04378391156353368,0.045264741973558946,0.04789259241669026,0.045264741973558946,10,"[-8.514519685039371, 24.511496062992123]",33.18324136734009
ackley_cfef0fa0,0.043292006830813655,0.04610396054170472,0.049411338074819525,0.046103960541704715,10,"[-23.479433070866143, -21.415307086614174]",3.276890277862549
ackley_d053cfd2,0.04396334798177997,0.05120457479968051,0.07502015452594506,0.04945054995641716,10,"[17.803086614173232, -26.575622047244096]",0.36579036712646484
ackley_d7b70b87,0.20633388401034994,0.24154703014954776,0.26502246090901294,0.23625206255901463,10,"[0.25801574803149663, 0.7740472440944899]",3.6996092796325684
ackley_d7eda4db,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.19466469277273168,10,"[-0.25801574803149663, -0.25801574803149663]",3.3390395641326904
ackley_dd412b35,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.19555856660766396,10,"[0.25801574803149663, -0.25801574803149663]",0.36267662048339844
ackley_df6eda6f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2034847441416841,10,"[-0.25801574803149663, -0.25801574803149663]",3.3863308429718018
ackley_e19c9120,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2554715759317334,10,"[-0.25801574803149663, -0.25801574803149663]",37.988802909851074
ackley_e1d92a7d,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25968135666610026,10,"[-0.25801574803149663, -0.25801574803149663]",33.374040603637695
ackley_e88bf5a9,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25646164332086235,10,"[-0.25801574803149663, -0.25801574803149663]",33.69757008552551
ackley_e966e0c6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22851723346638045,10,"[0.25801574803149663, -0.25801574803149663]",43.880165100097656
ackley_ec5ed9ed,0.045477180932381484,0.051776262134435605,0.08155391477023334,0.0487668794750012,10,"[19.867212598425198, -17.28705511811024]",3.614720344543457
ackley_ed6ceeb2,0.04377606255894709,0.04641691823830019,0.049035449303539674,0.046416918238300194,10,"[28.63974803149607, 3.354204724409449]",3.503028392791748
ackley_eeae5fb9,0.04859974049888617,0.08812232380988513,0.20633388401034994,0.049921219140754376,10,"[-12.642771653543306, -6.4503937007874015]",3.3318822383880615
ackley_ef853c00,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26140074897253784,10,"[0.25801574803149663, 0.25801574803149663]",65.39591884613037
ackley_f1058a04,0.043357442624233127,0.04557086632619349,0.04777040738283199,0.0455708663261935,10,"[25.54355905511811, -31.735937007874018]",3.5708110332489014
ackley_f5835172,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2561745004596828,10,"[0.25801574803149663, 0.25801574803149663]",3.879770517349243
ackley_f7706eb0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.21079281478482054,10,"[-0.25801574803149663, 0.25801574803149663]",3.9012649059295654
ackley_fa510faf,0.04819623155762154,0.06586991325408507,0.1030864243582192,0.047114363801010695,10,"[-23.995464566929133, -11.09467716535433]",3.324916362762451
ackley_fb01f169,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.20464921271159642,10,"[0.25801574803149663, 0.25801574803149663]",0.3873448371887207
ackley_fb25f454,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24842019399189885,10,"[-0.25801574803149663, 0.25801574803149663]",4.290955305099487
ackley_fd4d422a,0.04327994437131784,0.05519902758544114,0.14069216641370022,0.05519902758544114,10,"[-22.447370078740157, 22.447370078740157]",3.335414409637451
ackley_ff136c6b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2602407081321759,10,"[0.25801574803149663, 0.25801574803149663]",3.866379976272583
